model,price,description,engine_hk,mil,color,fuel,automatic,model_year,scrape_date
XC40,299000,"Pure Electric, backkamera,",407,12383,Crystal White Pearl,El,TRUE,2021,2026-05-06
XC40,324800,Pure Electric,407,11077,Crystal White Pearl,El,TRUE,2021,2026-05-06
C40,389900,Recharge Twin motor,407,4202,Thunder Grey,El,TRUE,2022,2026-05-06
XC40,289900,Pro,231,9167,Glacier Silver,El,TRUE,2022,2026-05-06
XC40,314900,Plus,231,4734,Black Stone,El,TRUE,2022,2026-05-06
C40 Recharge,329500,Intro Edition,407,9575,Silver Dawn,El,TRUE,2022,2026-05-06
XC40,349900,Core,231,6212,Glacier Silver,El,TRUE,2022,2026-05-06
XC40,299900,Plus,231,7020,Thunder Grey,El,TRUE,2022,2026-05-06
XC40,314900,Pano/ El-stol/ 360-kamera,231,5223,Thunder Grey,El,TRUE,2022,2026-05-06
XC40,328500,Recharge Pro Single motor,231,6412,Onyx Black,El,TRUE,2022,2026-05-06
XC40,304000,Plus,231,5079,Onyx Black,El,TRUE,2022,2026-05-06
XC40,319900,Plus,231,4917,Black Stone,El,TRUE,2022,2026-05-06
XC40,349000,Twin Pro,407,8486,Sage Green,El,TRUE,2022,2026-05-06
XC40,309900,Core,231,6052,Denim Blue,El,TRUE,2022,2026-05-06
XC40,329900,Pro,231,5161,Black Stone,El,TRUE,2022,2026-05-06
XC40,354900,Plus DRAG B-Kamera,407,8869,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,309800,Ultimate (SELEKT) DRAGKROK,231,10190,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,349900,Ultimate (SELEKT) DRAG H&K,231,6515,Black Stone,El,TRUE,2023,2026-05-06
XC40,309900,Core DRAG SELEKT,231,5885,Onyx Black,El,TRUE,2023,2026-05-06
XC40,334900,Plus B-Kamera V-Pump,231,5884,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,374900,Ultimate 360 DRAG (SELEKT),407,5850,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,319900,Core (SELEKT),231,5849,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,304900,Core (SELEKT),231,7444,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,299900,Plus Edition (SELEKT),231,8754,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,324900,Core Panorama B-Kamera,231,2268,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,364000,"Ultimate, Panoramatak, 360 kamera",231,4070,Fusion Red,El,TRUE,2023,2026-05-06
XC40,329900,Core,231,4690,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,314900,Core Edition,231,6055,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,289900,Core,231,8611,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,349900,"Core Edition, Ränta 2,95%, Navigation, Panoramaglastak ej öppnb",231,3406,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,384000,Ultimate/Värmepump/HarmanKardon/360kamera/Google,231,3381,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core B-Kamera,231,4666,Black Stone,El,TRUE,2023,2026-05-06
XC40,339900,Plus Edition,231,5690,Black Stone,El,TRUE,2023,2026-05-06
XC40,339900,"Core Edition, Ränta 2.95%, Navigation, Baklucka elmanövrerad, Dragkrok",231,4048,Black Stone,El,TRUE,2023,2026-05-06
XC40,379900,Ultimate,231,4859,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,319000,Core / Kamera/Keyless/,231,4217,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Plus DRAG (SELEKT),231,6023,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,339900,Plus Edition/Highpreformanse stereo,231,6211,Black Stone,El,TRUE,2023,2026-05-06
XC40,329900,Core Edition | Ränta 2.95% | Drag |,231,4728,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,359900,Ultimate | Ränta 2.95% |,407,10378,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,394900,Ultimate PANO SELEKT,407,6685,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,379900,Recharge Ultimate Twin Motor El,407,8257,Black Stone,El,TRUE,2023,2026-05-06
XC40,334900,Plus Edition/Highpreformance stereo,231,7992,Bright Dusk,El,TRUE,2023,2026-05-06
C40 Recharge,359900,Ultimate,407,7126,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,394000,Ultimate / Panorama / 360 / Harman Kardon,231,1876,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,314500,Core,231,7736,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core,231,5799,Black Stone,El,TRUE,2023,2026-05-06
XC40 Recharge,354500,"�Recharge Plus. Backkamera, Adaptiv farthållare, Navi.",231,4568,Onyx Black,El,TRUE,2023,2026-05-06
XC40,326300,"Core Edition Momsbil, Parkeringskamera, Parksensorer fram/bak",231,4945,Black Stone,El,TRUE,2023,2026-05-06
XC40,309900,"Plus Edition, Ränta 2,95%, on call, Förarstol elmanövrerad, Dragkrok",231,9815,Black Stone,El,TRUE,2023,2026-05-06
XC40,299900,Core,231,9121,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,359900,"Plus Edition, Ränta 2,95%, Panoramaglastak ej öppnb, Navigation",231,3088,Black Stone,El,TRUE,2023,2026-05-06
XC40,384900,Ultimate,231,4117,Sage Green,El,TRUE,2023,2026-05-06
XC40,349800,Plus,407,7804,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,319900,"C40 Recharge Core, Single motor, El",231,5471,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core B-Kamera,231,4161,Black Stone,El,TRUE,2023,2026-05-06
XC40,299900,Plus | 2.95% Ränta |,231,7511,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Core (SELEKT),231,2540,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Plus Edition Panoramaglastak Google,231,10693,Onyx Black,El,TRUE,2023,2026-05-06
XC40,409900,Ultimate 360 (SELEKT),407,6008,Black Stone,El,TRUE,2023,2026-05-06
XC40,314100,"Core Edition Momsbil, Parkeringskamera, Parksensorer fram/bak",231,4482,Black Stone,El,TRUE,2023,2026-05-06
XC40,269000,Plus Edition,231,11060,Crystal White,El,TRUE,2023,2026-05-06
XC40,339100,Ultimate,231,7782,Onyx Black,El,TRUE,2023,2026-05-06
XC40,319100,"Plus Edition Momsbil, Pixel Tech Strålkastare",231,6032,Black Stone,El,TRUE,2023,2026-05-06
XC40,335800,Core,407,7967,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,324900,Core Mörkt tonade rutor 5 st,231,7699,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,349900,"Plus, Ränta 2,95%, Förarstol elmanövrerad, Navigation",231,3946,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,334900,Core Edition/Backkamera/Värmepump/Volvo On Call,231,5827,Black Stone,El,TRUE,2023,2026-05-06
XC40,309900,Core,231,4270,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329000,Plus / Navigation / Panoramaglastak / Backkamera /,231,5746,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Core/High preformance stereo/Google/rattvärme,231,6305,Black Stone,El,TRUE,2023,2026-05-06
XC40,349900,"Core Edition, Ränta 2,95%, Navigation, Baklucka elmanövrerad",231,3363,Sage Green,El,TRUE,2023,2026-05-06
XC40,335600,Core Edition,231,5840,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,314900,"XC40 Recharge Core, Single Motor, El",231,4749,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,309900,Core | Ränta 2.95% |,231,8559,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Core Edition | Ränta 2.95% |,231,5927,Black Stone,El,TRUE,2023,2026-05-06
XC40,344900,Core | Ränta 2.95% |,231,3780,Black Stone,El,TRUE,2023,2026-05-06
XC40,319800,Plus Drag,231,5967,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,319900,Core,231,4113,Onyx Black,El,TRUE,2023,2026-05-06
XC40,329900,Plus / Värmepump Driver Awareness,231,8279,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,274900,Core B-Kamera,231,9636,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Ultimate,231,9738,Crystal White,El,TRUE,2023,2026-05-06
XC40,329900,Core Edition,231,4000,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329000,Core,231,4408,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,349900,Ultimate (SELEKT) DRAG,231,6429,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Core | Ränta 2.95% |,231,6401,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,334900,"Core Edition, Ränta 2.95%, Navigation, Panoramaglastak ej öppnb",231,5543,Black Stone,El,TRUE,2023,2026-05-06
XC40,324000,Core,231,7341,Black Stone,El,TRUE,2023,2026-05-06
XC40,379900,Ultimate / 20' / Panoramaglastak / 360 kamera,231,5026,Sage Green,El,TRUE,2023,2026-05-06
XC40,319000,Plus Edition//Adaptiv farth.//,231,4500,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,349900,Plus Edition,231,2866,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,289000,"Core Edition, / 2.95%* /",231,7185,Crystal White,El,TRUE,2023,2026-05-06
XC40,324900,Core,231,4485,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Core Panorama B-Kamera,231,3121,Black Stone,El,TRUE,2023,2026-05-06
XC40,304500,Core,231,8258,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,329000,Core / Backkamera / Panorama /,231,4293,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,379000,Ultimate,407,6521,Fusion Red,El,TRUE,2023,2026-05-06
XC40,344900,Plus | Ränta 2.95% |,407,11187,Black Stone,El,TRUE,2023,2026-05-06
XC40,359900,Plus Edition,231,4355,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,344900,Core | Ränta 2.95% |,231,4528,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,354900,"Core Edition, Ränta 2.95%, Panoramaglastak ej öppnb",231,2959,Sage Green,El,TRUE,2023,2026-05-06
XC40,329500,Plus Edition | Backkamera | Värmepump |,231,4107,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,299900,"Core Edition, Ränta 2,95%, on call, Dragkrok",231,7546,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,309900,"Core Edition/High Preformance Stereo/2,95% Ränta",231,4927,Black Stone,El,TRUE,2023,2026-05-06
XC40,329900,Core Edition Backkamera/ Keyless/,231,5465,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,389000,Ultimate,231,2554,Black Stone,El,TRUE,2023,2026-05-06
XC40,294900,Core Edition | 2.95% Ränta |,231,6910,Black Stone,El,TRUE,2023,2026-05-06
XC40,319900,Core Edition,231,4458,Black Stone,El,TRUE,2023,2026-05-06
XC40,359800,Ultimate (SELEKT),231,4317,Black Stone,El,TRUE,2023,2026-05-06
XC40,359900,"Core Edition, Ränta 2,95%, Baklucka elmanövrerad, Dragkrok",231,7220,Black Stone,El,TRUE,2023,2026-05-06
XC40,349500,Ultimate / Dragkrok / Tonade rutor / Navigation /,231,9002,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core/Tonade rutor/Baksätesvärme/Rattvärme,231,5694,Sage Green,El,TRUE,2023,2026-05-06
XC40,309900,Core,231,9000,Black Stone,El,TRUE,2023,2026-05-06
XC40,324900,Core Edition Backkamera/ Keyless/,231,5603,Black Stone,El,TRUE,2023,2026-05-06
XC40,319900,Core,231,5600,Black Stone,El,TRUE,2023,2026-05-06
XC40,324900,Core Edition,231,5943,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,294500,Core Edition,231,7666,Black Stone,El,TRUE,2023,2026-05-06
XC40,344900,Core,231,4580,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Core Värmepump/ Backkamera/ Keyless,231,6712,Black Stone,El,TRUE,2023,2026-05-06
XC40,354900,Plus | Ränta 2.95% |,231,5149,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,384500,Ultimate,407,7071,Black Stone,El,TRUE,2023,2026-05-06
XC40,319900,Core B-Kamera Carplay,231,5140,Black Stone,El,TRUE,2023,2026-05-06
XC40,339600,Plus Edition,231,6825,Black Stone,El,TRUE,2023,2026-05-06
XC40,309900,Core (SELEKT),231,6935,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,344900,Core,231,4654,Crystal White,El,TRUE,2023,2026-05-06
XC40,319900,Core/Tonade rutor/Dragkrok/rattvärme,231,6108,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,329500,Plus,231,4543,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,349500,"Core �, Klimatpaket, Navigation, Parkeringskamera bak, Dragkrok halvautomatisk,",231,2209,Fusion Red,El,TRUE,2023,2026-05-06
XC40,309900,Plus | Ränta 2.95% |,231,10277,Crystal White,El,TRUE,2023,2026-05-06
XC40,299000,Core,231,7969,Black Stone,El,TRUE,2023,2026-05-06
XC40,344600,Core Edition,231,5627,Sage Green,El,TRUE,2023,2026-05-06
XC40,349000,Core Edition,231,4418,Black Stone,El,TRUE,2023,2026-05-06
XC40,324900,Core,231,7613,Black Stone,El,TRUE,2023,2026-05-06
XC40,349900,Core Klimatpkt/ Backkamera/ Keyless,231,1882,Black Stone,El,TRUE,2023,2026-05-06
XC40,299500,Core Edition (Nav/Värmepump/El Värmare/Kamera),231,5847,Onyx Black,El,TRUE,2023,2026-05-06
XC40,274900,Core Edition 2.95% ränta Backkamera/ Keyless/,231,6686,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,319900,Core,231,7573,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Core Edition / Kamera / Värmepump / Sensorer fram / bak / Google,231,5689,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Core,231,6739,Crystal White,El,TRUE,2023,2026-05-06
XC40,299900,"Core, Ränta 2.95%",231,4764,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,354900,Ultimate Mörkt tonade rutor 5 st,231,8618,Fusion Red,El,TRUE,2023,2026-05-06
XC40,279900,"XC40 Recharge Core, Single Motor, El",231,9692,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,364900,Ultimate,231,4143,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,309900,Core Edition,231,4491,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,"Core Edition/High preformance stereo/2,95% Ränta",231,3646,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,359000,Core,407,5413,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,339900,Ultimate,231,6978,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,294900,"Core Edition. Dragkrok / El Värmare /2,95% Ränta",231,5429,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,439000,Plus,407,2900,Crystal White,El,TRUE,2023,2026-05-06
XC40,299000,Core DRAGKROK,231,9141,Bright Dusk,El,TRUE,2023,2026-05-06
XC40,314500,Core Edition,231,6484,Black Stone,El,TRUE,2023,2026-05-06
XC40,294900,Core Edition | 2.95% Ränta |,231,7752,Black Stone,El,TRUE,2023,2026-05-06
XC40,349500,"Core Edition | Ränta 2,95%* | Dragkrok |",231,6872,Black Stone,El,TRUE,2023,2026-05-06
XC40,324900,Core | Ränta 2.95% |,231,4645,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Core Edition 2.95% Ränta Backkamera/ Keyless/,231,6314,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,314900,– Core 2.95% Ränta,231,6267,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,324900,– Core Klimatpkt/ Backkamera/ Keyless 2.95% Ränta,231,4728,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Plus DRAG 2.95% Ränta,231,5245,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,319900,– Core Klimatpkt/ Backkamera/ Keyless,231,5467,Sage Green,El,TRUE,2023,2026-05-06
XC40,319300,Plus Edition,231,9732,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,324900,"Core. '2,95% Ränta'",231,3054,Black Stone,El,TRUE,2023,2026-05-06
XC40,339900,"XC40 Recharge Core, Single Motor, El",231,5717,Bright Dusk,El,TRUE,2023,2026-05-06
C40 Recharge,339900,Plus Edition,231,7852,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Core Edition 2.95% Ränta Backkamera/ Keyless/,231,4707,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,339900,– Core 2.95% Ränta,231,2360,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,309900,"Core, Värmepump, Panoramaglastak, Ränta 2.95%",231,5716,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,344900,"Core, Värmepump, Rattvärme",231,4319,Sage Green,El,TRUE,2023,2026-05-06
XC40,294900,"Core Edition, Ränta 2.95%, Värmepump",231,5813,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,339900,Core Edition 2.95% Ränta Backkamera/ Keyless/,231,2006,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329300,Core,231,4518,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,309900,Plus Edition Mörkt tonade rutor 5 st,231,9263,Black Stone,El,TRUE,2023,2026-05-06
XC40,334800,"XC40 Recharge Core, Single Motor, El",231,3084,Black Stone,El,TRUE,2023,2026-05-06
XC40,319900,Core Edition,231,3995,Black Stone,El,TRUE,2023,2026-05-06
XC40,304900,Core Edition Backkamera/ Keyless/,231,5050,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,304900,"Core, Navigation, Dragkrok",231,5285,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,– Core 2.95% Ränta Klimatpkt/ Backkamera/ Keyless,231,10298,Onyx Black,El,TRUE,2023,2026-05-06
XC40,299900,Core Edition 2.95% ränta Backkamera/ Keyless,231,5147,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,324800,"C40 Recharge Core, Single motor, El",231,5443,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core 19' Selekt,231,3802,Black Stone,El,TRUE,2023,2026-05-06
XC40,334300,Plus Edition,231,5736,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,334800,Core,231,3553,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,289000,Core/Ränta 2.95%*/Värmepump/Backkamera/Panorama,231,5710,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,304900,Core Värmepump/ Tonade Rutor/ Backkamera,231,3863,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,304900,Core Klimatpkt/ Backkamera/ Keyless,231,3200,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,314900,Core 2.95% ränta Pano/ Värmare/ Google,231,5579,Black Stone,El,TRUE,2023,2026-05-06
XC40,319900,Core Edition,231,5539,Black Stone,El,TRUE,2023,2026-05-06
XC40,269900,"Core Edition '2,95% Ränta'",231,8017,Black Stone,El,TRUE,2023,2026-05-06
XC40,309000,Ultimate,231,10948,Crystal White,El,TRUE,2023,2026-05-06
XC40,294900,"Core Edition, Ränta 2.95%, Värmepump",231,5054,Black Stone,El,TRUE,2023,2026-05-06
XC40,304900,"Core Edition, Ränta 2,95%, Navigation, on call",231,5977,Black Stone,El,TRUE,2023,2026-05-06
XC40,304800,Core,231,8903,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,294100,Core Edition,231,8443,Black Stone,El,TRUE,2023,2026-05-06
XC40,294900,"Core Edition. Nav/ EL Värmare/kylare/2,95% Ränta",231,5468,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,419900,Ultimate,407,1964,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,324000,Core Edition/Google/ Värmepump/Kamera,231,4762,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,359900,Ultimate | Ränta 2.95% | Drag,231,7525,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,339500,"Core �, Klimatpaket, Navigation, Parkeringskamera bak, Dragkrok halvautomatisk,",231,4299,Sage Green,El,TRUE,2023,2026-05-06
XC40,359900,Plus | Dragkrok | Navigation,231,4252,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,339900,"Core Edition, Ränta 2.95%, Navigation, Baklucka elmanövrerad",231,5080,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,344900,"Core Edition, Ränta 2.95%, Panoramaglastak ej öppnb",231,3799,Black Stone,El,TRUE,2023,2026-05-06
XC40,329900,Core,231,4871,Crystal White,El,TRUE,2023,2026-05-06
XC40,314900,Core,231,4295,Black Stone,El,TRUE,2023,2026-05-06
XC40,339600,Core Edition,231,2641,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329900,"C40 Recharge Core, Single motor, El",231,5811,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,339900,Core,407,7112,Onyx Black,El,TRUE,2023,2026-05-06
XC40,349000,Plus / Dragkrok / Navigation / Backkamera /,231,5469,Black Stone,El,TRUE,2023,2026-05-06
XC40,339900,Plus,231,6394,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,344900,"Core Edition, Ränta 2.95%, Panoramaglastak ej öppnb",231,3126,Black Stone,El,TRUE,2023,2026-05-06
XC40,309900,Core/Klimatpaket/Rattvärme/Baklsätesvärme,231,4122,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,319000,Core Edition/Google/ Värmepump/Kamera,231,4431,Black Stone,El,TRUE,2023,2026-05-06
XC40,329000,Core Edition,231,6582,Black Stone,El,TRUE,2023,2026-05-06
XC40,359000,Plus / Dragkrok / Tonade rutor / Navigation /,231,3840,Sage Green,El,TRUE,2023,2026-05-06
XC40,299800,Core,231,6137,Black Stone,El,TRUE,2023,2026-05-06
XC40,339000,Core Edition/Google/ Värmepump/Kamera,231,2451,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,349000,Plus,231,5060,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,349900,"Core, Navigation, Panoramatak, backkamera, Dragkrok",231,3467,Crystal White,El,TRUE,2023,2026-05-06
XC40,314900,Plus,231,7168,Black Stone,El,TRUE,2023,2026-05-06
XC40,349900,"Core Edition, Ränta 2.95%, Baklucka elmanövrerad, Dragkrok",231,3621,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,309500,Core / Navigation / Backkamera / Klimatpaket /,231,7898,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Plus Edition,231,6300,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,349900,Plus Edition,231,6377,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,359900,"Core Edition, Ränta 2.95%, Baklucka elmanövrerad",231,1548,Fjord Blue,El,TRUE,2023,2026-05-06
XC40 Recharge,344500,"�Recharge Plus Edition. Backkamera, Adaptiv farthållare, Navi.",231,5487,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,324900,Plus | Ränta 2.95% |,231,7281,Sage Green,El,TRUE,2023,2026-05-06
XC40,309000,Core Edition Inkl Nya Vinterhjul,231,7505,Crystal White,El,TRUE,2023,2026-05-06
XC40,299900,"XC40 Recharge Core, Single Motor, El",231,9533,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,324000,"Plus Edition, / Backkamera/ Panoramatak",231,7570,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,309900,Plus Edition | Ränta 2.95% |,231,8482,Sage Green,El,TRUE,2023,2026-05-06
XC40,329900,Plus,231,5201,Black Stone,El,TRUE,2023,2026-05-06
XC40,379000,Ultimate,407,8778,Onyx Black,El,TRUE,2023,2026-05-06
XC40,309900,"Core, *Ränta 2.95%",231,7149,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,339900,Core,231,4488,Black Stone,El,TRUE,2023,2026-05-06
XC40,384800,Ultimate,407,7769,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,309000,Core Google/Värmepump/Backkamera,231,4721,Black Stone,El,TRUE,2023,2026-05-06
XC40,324900,Core Edition/Tonade rutor/High preformace stereo/Goggle maps,231,2931,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,339900,"Core Edition, Ränta 2.95%, on call, Baklucka elmanövrerad",231,5679,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,284900,Plus Edition,231,11333,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,319900,Core/Klimatpaket/Tonade rutor/Dragkrok,231,4679,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,324900,"Plus. 2,95% Ränta'",231,8923,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,324900,Plus (SELEKT),231,5375,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,329900,Core Edition,231,5032,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,299500,"Plus Edition ⚫, Värmepump, Adaptiv farthållare, Elmanöverad förarstol, Dragkrok",231,11371,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,329900,"Core, Värmepump, Rattvärme",231,4464,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,339900,Ultimate | 2.95% Ränta |,231,8438,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,389000,Ultimate,407,6886,Onyx Black,El,TRUE,2023,2026-05-06
XC40,384900,Ultimate,231,3849,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,339000,Core Edition/Google/ Värmepump/Kamera,231,2787,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,314900,"C40 Recharge Core, Single motor, El",231,7790,Black Stone,El,TRUE,2023,2026-05-06
XC40,299000,Core Edition //Kamera//Värmare//,231,4300,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,319900,"Core Edition, Ränta 2,95%, Panoramaglastak ej öppnb, Dragkrok",231,5426,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,339900,Core Edition/Google/ Värmepump/Kamera,231,1959,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,374900,Plus Edition,231,3764,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,329900,Core | Ränta 2.95% |,231,5943,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,329000,Core,231,4829,Black Stone,El,TRUE,2023,2026-05-06
XC40,329900,Core /Värmepump/Backkamera,231,4024,Black Stone,El,TRUE,2023,2026-05-06
XC40,294900,"Core, on call",231,5053,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,379900,Ultimate/Värmepump/HarmanKardon/360kamera/Google/,231,3310,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,384900,"Ultimate. 2,95% Ränta",231,4541,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,319900,Core SELEKT,231,4207,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,304900,Plus Klimatpaket,231,6232,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,339900,Plus (SELEKT),231,6966,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,339000,Plus,407,8784,Onyx Black,El,TRUE,2023,2026-05-06
C40 Recharge,344900,Core Edition/Google/ Värmepump/Kamera,231,2875,Sage Green,El,TRUE,2023,2026-05-06
XC40,349900,Ultimate / Kamera / Värmare,231,7642,Sage Green,El,TRUE,2023,2026-05-06
XC40,349900,Plus Edition,231,3990,Silver Dawn,El,TRUE,2023,2026-05-06
